fiscal_year,store_id,store_name,region,store_format,category,net_sales_revenue,gross_margin,gross_margin_rate,margin_at_risk,markdown_loss,refund_amount,shrink_value,transactions,units_sold,inventory_stockout_rate,inventory_overstock_rate,inventory_sell_through_rate,avg_weeks_of_supply,avg_inventory_value,fulfillment_shipment_count,fulfillment_delay_rate,fulfillment_short_shipment_rate,fulfillment_avg_delay_days,fulfillment_avg_lead_time_days,supplier_count,supplier_shipment_count,supplier_delay_rate,supplier_short_shipment_rate,supplier_avg_delay_days,supplier_avg_lead_time_days,supplier_reliability_score,margin_risk_rate,markdown_loss_rate,refund_rate_value,shrink_rate_value,gross_margin_dollars_per_unit,revenue_per_transaction,units_per_transaction,next_year_margin_risk_rate,target_threshold_p75_margin_risk_rate,high_margin_risk_next_year
2023,ST0001,Target Store 0001,Midwest,Standard,Apparel & Accessories,33197.72,13447.24,0.40506516712593515,5750.66,408.6,4551.93,790.13,509,661,0.06473413379073756,0.021337907375643225,0.020608013593396934,9.420280574376113,355.97218490566036,3480.0,0.21810344827586206,0.08132183908045977,1.9977942469518446,23.585663701230136,35,3480.0,0.21810344827586206,0.08132183908045977,1.1744365834522592,21.231579440595116,85.54914285714285,0.17322454674598134,0.012308074168948952,0.13711574168346502,0.02380073089356739,20.34378214826021,65.22145383104126,1.2986247544204321,0.16838948564306966,0.10369502913475305,1
2023,ST0001,Target Store 0001,Midwest,Standard,Beauty,15962.98,6360.79,0.3984713380584327,1720.48,315.47,762.48,642.53,407,529,0.079631217838765,0.04725557461406518,0.02053780064627073,8.829931431410818,214.9941295025729,3522.0,0.20329358319136853,0.08546280522430437,1.8533595443218975,21.818293965957285,26,3522.0,0.20329358319136853,0.08546280522430437,1.2325732079711882,22.19411166950965,84.75576923076923,0.10777937452781373,0.01976260071740991,0.04776551746603704,0.04025125634436678,12.024177693761814,39.22108108108108,1.2997542997542997,0.12828404597052973,0.10369502913475305,1
2023,ST0001,Target Store 0001,Midwest,Standard,Food & Beverage,20365.73,3922.25,0.19259069034107787,927.64,408.17,90.58,428.89,582,1023,0.004492362982929021,0.7187508508263225,0.011750526229978832,24.248972770369686,553.3224492907511,21975.0,0.15968145620022753,0.07758816837315131,1.243144621636587,20.17726835294946,38,21975.0,0.15968145620022753,0.07758816837315131,0.803176684319463,13.382124052740515,86.99657894736842,0.045549066986550445,0.0200420019316764,0.004447667724162109,0.021059397330711938,3.8340664711632453,34.99266323024055,1.7577319587628866,0.020803020314146214,0.10369502913475305,0
2023,ST0001,Target Store 0001,Midwest,Standard,Hardlines,148207.5,37533.71,0.2532510837845588,20068.78,3782.09,6613.89,9672.8,642,885,0.07510225623433171,0.021058187095922946,0.022052851887618886,9.002627164294498,1447.591610502705,4586.0,0.24291321412996075,0.0832969908416921,2.4389241158882378,22.162757570913083,44,4586.0,0.24291321412996075,0.0832969908416921,1.2926342312579768,19.542634231257978,85.42977272727273,0.13541001636219488,0.025518883997098663,0.044625879257122615,0.06526525310797361,42.410971751412426,230.85280373831776,1.3785046728971964,0.09315411211062677,0.10369502913475305,0
2023,ST0001,Target Store 0001,Midwest,Standard,Home Furnishings & Decor,63744.11,22856.37,0.3585644226580307,6540.87,1043.23,5352.51,145.13,509,680,0.04480694507648685,0.022123429131515385,0.017336086224324948,11.117683805317087,886.2129362551195,2710.0,0.23099630996309964,0.07712177121771217,2.1315486379999107,24.621496714336885,33,2710.0,0.23099630996309964,0.07712177121771217,1.1800640601049892,18.452791332832263,85.41393939393939,0.10261136283807241,0.01636590423805431,0.08396869922570101,0.0022767593743170935,33.61230882352941,125.23400785854616,1.3359528487229861,0.07118103299122872,0.10369502913475305,0
2023,ST0001,Target Store 0001,Midwest,Standard,Household Essentials,40104.53,10004.42,0.24945860230751987,1872.45,543.47,449.88,879.1,891,1653,0.027407366421365206,0.4246481860602372,0.016329787292084112,14.926419965339404,386.99714085468196,16446.0,0.13523045117353763,0.07947221208804572,1.3576408425508069,19.388399826108557,36,16446.0,0.13523045117353763,0.07947221208804572,0.7435598485447106,11.410226515211377,87.16555555555556,0.04668923934528095,0.013551336968666634,0.011217685383671122,0.021920216992943192,6.052280701754386,45.01069584736251,1.8552188552188553,0.046666959752172874,0.10369502913475305,0
2023,ST0002,Target Store 0002,Midwest,Large Format,Apparel & Accessories,44715.41,17823.58,0.398600393018872,7134.83,776.78,5325.17,1032.88,668,903,0.13,0.02339622641509434,0.03286252443420214,8.533422053646612,331.52696320754717,3480.0,0.21810344827586206,0.08132183908045977,1.9977942469518446,23.585663701230136,35,3480.0,0.21810344827586206,0.08132183908045977,1.1744365834522592,21.231579440595116,85.54914285714285,0.15956087621694623,0.01737163988879896,0.11909026440772878,0.023098971920418487,19.738183831672206,66.93923652694612,1.3517964071856288,0.15790569393360204,0.10369502913475305,1
2023,ST0002,Target Store 0002,Midwest,Large Format,Beauty,22696.92,9134.2,0.4024422697000298,2438.52,358.95,885.55,1194.02,542,716,0.09811320754716982,0.08761792452830189,0.02734919672727394,9.631630734004576,234.84492806603774,3522.0,0.20329358319136853,0.08546280522430437,1.8533595443218975,21.818293965957285,26,3522.0,0.20329358319136853,0.08546280522430437,1.2325732079711882,22.19411166950965,84.75576923076923,0.10743836608667609,0.01581492114348555,0.03901630705840264,0.052607137884787894,12.757262569832402,41.87623616236162,1.3210332103321034,0.10737963854278239,0.10369502913475305,1
2023,ST0002,Target Store 0002,Midwest,Large Format,Food & Beverage,32782.9,6314.11,0.1926037659877558,1425.29,616.06,91.76,717.47,890,1638,0.0038185085354896678,0.8131176999101527,0.014237750678364015,31.663494712893527,748.3140910452231,21975.0,0.15968145620022753,0.07758816837315131,1.243144621636587,20.17726835294946,38,21975.0,0.15968145620022753,0.07758816837315131,0.803176684319463,13.382124052740515,86.99657894736842,0.04347662958432597,0.018792114181478758,0.002799020220907851,0.021885495181939364,3.8547680097680095,36.834719101123596,1.8404494382022472,0.02233168962002868,0.10369502913475305,0
2023,ST0002,Target Store 0002,Midwest,Large Format,Hardlines,211608.39,51455.19,0.2431623339698393,24316.95,6603.2,10064.26,7649.49,906,1247,0.11269956458635703,0.02576197387518142,0.03230891304374038,8.756479605364259,1432.899740203193,4586.0,0.24291321412996075,0.0832969908416921,2.4389241158882378,22.162757570913083,44,4586.0,0.24291321412996075,0.0832969908416921,1.2926342312579768,19.542634231257978,85.42977272727273,0.11491486703339125,0.031204811869699492,0.047560779608029714,0.03614927555566204,41.26318364073777,233.56334437086093,1.3763796909492274,0.12783773384877153,0.10369502913475305,1
